PC1,PC2,PC3
-0.0077464464,-0.38122484,0.017758971
0.006106707,-0.4149931,0.032252636
0.029492442,-0.44307122,0.04407414
0.06657217,-0.46147513,0.051433675
0.1201504,-0.46465155,0.054906465
0.1900965,-0.44498754,0.057677556
0.27248842,-0.39371377,0.06347659
0.36084566,-0.30359897,0.07269694
0.4495067,-0.17074315,0.08043834
0.53639144,0.007369856,0.08050523
-0.58313847,-0.004840505,-0.132392
-0.5194648,0.047334626,-0.12769239
-0.46293992,0.08922957,-0.109720714
-0.41513157,0.11784198,-0.08247159
-0.37751067,0.13241738,-0.049034853
-0.35024548,0.13462128,-0.012007304
-0.33166978,0.12786092,0.026362395
-0.31855947,0.11619676,0.06401148
-0.3068859,0.10329817,0.09887056
-0.29271534,0.09132638,0.12868352
-0.2730408,0.07963352,0.15084434
-0.24640864,0.064157054,0.16247971
-0.21322007,0.03945428,0.16115049
-0.17591314,0.0038383568,0.14627348
-0.13870226,-0.037477385,0.12006238
-0.1058784,-0.07684935,0.086820215
-0.079382315,-0.111108504,0.051373117
-0.05846833,-0.14203967,0.018108664
-0.041570686,-0.17249078,-0.009212
-0.027784646,-0.20415673,-0.027608551
-0.016980633,-0.23759182,-0.035328362
-0.009210622,-0.27272195,-0.03227618
-0.0039844583,-0.30918986,-0.020113539
0.00029608698,-0.34643954,-0.0018646104
0.0065987236,-0.38342664,0.018841863
0.019457981,-0.41813895,0.038199067
0.044686172,-0.44689238,0.053006925
0.088370785,-0.46330482,0.061813157
0.15443823,-0.45700136,0.066268034
0.24126154,-0.4142287,0.07051067
0.34028035,-0.3235241,0.07698457
0.44038373,-0.18230179,0.08229276
0.53587955,0.007439203,0.079885796
-0.58158576,-0.005050865,-0.13051295
-0.49877837,0.06498919,-0.13751653
-0.42407677,0.12045093,-0.12879047
-0.36159298,0.1560594,-0.10892054
-0.31505105,0.17112015,-0.080898374
-0.28524673,0.1693956,-0.046751987
-0.2697504,0.15641426,-0.008238118
-0.2640839,0.13725753,0.032628287
-0.26299196,0.11589377,0.073379345
-0.2612891,0.09503255,0.11106513
-0.2544942,0.075492024,0.14220406
-0.23951314,0.055443067,0.16288516
-0.2153352,0.031237284,0.16946775
-0.18367188,0.00081487687,0.16008386
-0.14882655,-0.033445235,0.13586135
-0.11572908,-0.06704115,0.10052382
-0.08707063,-0.09808252,0.05897069
-0.062555864,-0.12787823,0.016377345
-0.04069131,-0.15838501,-0.022095094
-0.02074115,-0.19070609,-0.051692087
-0.0034123666,-0.2249072,-0.06877679
0.009792678,-0.2603024,-0.07171897
0.018036144,-0.2960867,-0.061550736
0.022322435,-0.3318522,-0.041651696
0.025609223,-0.36739108,-0.016447097
0.032670714,-0.40200955,0.009604256
0.049813244,-0.43327466,0.03280324
0.08447949,-0.45528585,0.05081108
0.14314668,-0.4565627,0.06367343
0.22697014,-0.42025357,0.073777065
0.32817864,-0.33132547,0.08262338
0.4334024,-0.18694352,0.0866192
0.53427076,0.007657164,0.077938855
-0.5793692,-0.0053511644,-0.12783052
-0.4773657,0.08278674,-0.1430872
-0.3843149,0.15045327,-0.14445028
-0.30770746,0.19037232,-0.13575064
-0.25313988,0.20382586,-0.11822936
-0.2208436,0.19839887,-0.091800526
-0.20672417,0.18192144,-0.05693853
-0.20508532,0.1595872,-0.015543512
-0.21030101,0.13435695,0.029308915
-0.21722177,0.10805343,0.07388153
-0.2211966,0.08174776,0.114029184
-0.21838266,0.05543831,0.1453227
